country_code,new
MEX,242
COL,248
IDN,268
THA,275
EGY,276
TUN,277
SLV,277
PER,278
ZAF,279
MAR,280
MUS,282
PHL,282
MNG,282
IND,282
SEN,283
ECU,284
ALB,285
PAK,288
NER,288
MDA,288
KOR,288
BGD,288
KGZ,289
TGO,289
ESP,290
HND,290
ARM,291
CMR,291
PRY,291
URY,291
KAZ,291
GTM,292
FIN,292
UKR,292
BRA,292
BEN,292
TUR,292
CRI,292
BGR,292
FRA,293
NOR,293
GHA,293
SWZ,293
ARG,293
ITA,294
CYP,295
ROU,295
CHN,295
HUN,296
PRT,296
DNK,298
CIV,298
LAO,298
NPL,298
VNM,299
KEN,299
NAM,300
IRN,300
POL,300
TZA,300
SVN,300
PAN,302
LKA,302
CZE,302
EST,302
MYS,302
BDI,303
JAM,304
NLD,304
CHL,304
RWA,304
MWI,304
JOR,304
KHM,306
BWA,307
GRC,307
BLZ,308
GBR,308
MLI,308
CHE,308
DZA,309
UGA,309
MOZ,309
SWE,309
USA,310
TJK,310
DOM,310
SVK,310
IRL,310
AUT,311
LTU,312
COG,313
GEO,313
BOL,313
DEU,313
NIC,314
AUS,315
LVA,315
AZE,316
RUS,317
LSO,317
ISR,317
MLT,317
GUY,320
BLR,321
HRV,322
ZWE,323
JPN,323
ISL,323
GMB,323
BEL,327
CAN,328
MDG,329
MRT,331
VEN,332
SLE,332
BRB,332
BFA,333
MKD,333
ETH,335
NZL,336
GAB,338
QAT,341
LUX,341
ZMB,341
KWT,343
CAF,343
TTO,344
SRB,344
COD,345
MMR,345
BHR,347
GIN,347
SDN,348
OMN,349
SAU,350
CUB,352
NGA,354
SGP,354
LCA,357
YEM,360
HTI,361
UZB,364
LBN,364
AGO,364
BRN,364
IRQ,365
MDV,368
SYR,368
TCD,370
BTN,373
CPV,375
SUR,376
COM,378
ARE,380
FJI,382
LBR,382
TON,384
PNG,387
BIH,394
PSE,398
AFG,399
BHS,410
LBY,413
STP,418
VUT,419
SLB,420
GNB,420
WSM,424
MNE,428
VCT,436
DJI,437
HKG,439
ERI,440
TLS,445
TKM,454
GNQ,464
SYC,505
GRD,531
SSD,534
KIR,538
ATG,558
PRK,572
SOM,576
FSM,600
DMA,630
KNA,649
PLW,680
MHL,689
AND,705
TUV,722
NRU,750
LIE,752
SMR,758
MCO,780
